num_features,features,mean_r2
8,"('cement', 'blast furnace slag', 'fly ash', 'water ', 'superplasticizer', 'coarse aggregate', 'fine aggregate', 'age')",0.6006959620275698
6,"('cement', 'blast furnace slag', 'fly ash', 'water ', 'superplasticizer', 'age')",0.6006725827939222
7,"('cement', 'blast furnace slag', 'fly ash', 'water ', 'superplasticizer', 'fine aggregate', 'age')",0.6003347666887778
7,"('cement', 'blast furnace slag', 'fly ash', 'water ', 'superplasticizer', 'coarse aggregate', 'age')",0.6001326940517965
5,"('cement', 'blast furnace slag', 'fly ash', 'water ', 'age')",0.5999712577906671
6,"('cement', 'blast furnace slag', 'fly ash', 'water ', 'fine aggregate', 'age')",0.5998920034811777
6,"('cement', 'blast furnace slag', 'fly ash', 'water ', 'coarse aggregate', 'age')",0.5990201091715228
7,"('cement', 'blast furnace slag', 'fly ash', 'water ', 'coarse aggregate', 'fine aggregate', 'age')",0.5989348930476593
7,"('cement', 'blast furnace slag', 'fly ash', 'superplasticizer', 'coarse aggregate', 'fine aggregate', 'age')",0.5971271130548356
6,"('cement', 'blast furnace slag', 'fly ash', 'coarse aggregate', 'fine aggregate', 'age')",0.584221415184459
7,"('cement', 'blast furnace slag', 'water ', 'superplasticizer', 'coarse aggregate', 'fine aggregate', 'age')",0.5830419853186919
6,"('cement', 'blast furnace slag', 'water ', 'coarse aggregate', 'fine aggregate', 'age')",0.578776870837599
6,"('cement', 'blast furnace slag', 'water ', 'superplasticizer', 'fine aggregate', 'age')",0.5787328567463571
5,"('cement', 'blast furnace slag', 'water ', 'superplasticizer', 'age')",0.5754317689608965
6,"('cement', 'blast furnace slag', 'water ', 'superplasticizer', 'coarse aggregate', 'age')",0.575130200877298
6,"('cement', 'blast furnace slag', 'fly ash', 'superplasticizer', 'coarse aggregate', 'age')",0.570383748117632
6,"('cement', 'blast furnace slag', 'fly ash', 'superplasticizer', 'fine aggregate', 'age')",0.5701131919175865
5,"('cement', 'blast furnace slag', 'fly ash', 'superplasticizer', 'age')",0.5616436543834377
7,"('cement', 'fly ash', 'water ', 'superplasticizer', 'coarse aggregate', 'fine aggregate', 'age')",0.5614502090098946
6,"('cement', 'fly ash', 'water ', 'coarse aggregate', 'fine aggregate', 'age')",0.5605006846132673
5,"('cement', 'water ', 'coarse aggregate', 'fine aggregate', 'age')",0.5602058514603728
6,"('cement', 'water ', 'superplasticizer', 'coarse aggregate', 'fine aggregate', 'age')",0.5594066496767656
5,"('cement', 'blast furnace slag', 'water ', 'coarse aggregate', 'age')",0.5564765939643379
5,"('cement', 'blast furnace slag', 'water ', 'fine aggregate', 'age')",0.5540642801554955
4,"('cement', 'blast furnace slag', 'water ', 'age')",0.5491790062199113
5,"('cement', 'blast furnace slag', 'fly ash', 'fine aggregate', 'age')",0.5489833355272103
5,"('cement', 'blast furnace slag', 'superplasticizer', 'coarse aggregate', 'age')",0.5488223024954502
6,"('cement', 'blast furnace slag', 'superplasticizer', 'coarse aggregate', 'fine aggregate', 'age')",0.547564074999769
4,"('cement', 'blast furnace slag', 'superplasticizer', 'age')",0.5440169053663094
5,"('cement', 'blast furnace slag', 'superplasticizer', 'fine aggregate', 'age')",0.5419610548201423
